第一部类　三洞真经
CH2801-026-6 三天太上召伏蛟龙虎豹山精八威策文 28-081
CH2801-027 卷二十七 28-084

CH2801-027-1 上清神符品 28-084
CH2801-027-2 天帝君受九天丈人九天玉文 28-085
CH2801-028 卷二十八 28-091

CH2801-028-1 九天生神章品 28-091
CH2801-028-1-1郁单无量天生神章第一 28-091



CH2801-028-1-2上上禅善无量寿天生神章第二 28-092
CH2801-028-1-3梵监须延天生神章第三 28-092
CH2801-028-1-4寂然兜术天生神章第四 28-092
CH2801-028-1-5波罗尼密不骄乐天生神章第五 28-092
CH2801-028-1-6洞元化应声天生神章第六 28-092
CH2801-028-1-7灵化梵辅天生神章第七 28-092
CH2801-028-1-8高虚清明天生神章第八 28-092
CH2801-028-1-9无想无结无爱天生神章第九 28-093
CH2801-028-2 九天琼文品
CH2801-028-2-1郁单无量天王琼文第一 28-093
CH2801-028-2-2上上禅善无量寿天王琼文第二 28-093
CH2801-028-2-3梵监天王琼文第三 28-093
CH2801-028-2-4寂然天王琼文第四 28-093
CH2801-028-2-5不骄乐天王琼文第五 28-094
CH2801-028-2-6化应声天王琼文第六 28-094
CH2801-028-2-7梵宝天王琼文第七 28-094
CH2801-028-2-8梵摩迦夷天王琼文第八 28-094
CH2801-028-2-9 28-094

CH2801-029 卷二十九 28-095
CH2801-029-01 三十二天赞颂品 28-095
CH2801-029-02 太黄皇曾天颂 28-095
CH2801-029-03 太明玉完天颂 28-095
CH2801-029-04 清明何童天颂 28-095
CH2801-029-05 玄胎平育天颂 28-096
CH2801-029-06 元明文举天颂 28-096
CH2801-029-07 上明七曜天颂 28-096
CH2801-029-08 虚无越衡天颂 28-096
CH2801-029-09 太极蒙翳天颂 28-096
CH2801-029-10 赤明和阳天颂 28-096
CH2801-029-11 玄明恭华天颂 28-096
CH2801-029-12 曜明宗飘天颂 28-096
CH2801-029-13 竺落皇笳天颂 28-096
CH2801-029-14 虚明堂曜天颂 28-097
CH2801-029-15 观明端靖天颂 28-097
CH2801-029-16 玄明恭庆天颂 28-097
CH2801-029-17 太焕极瑶天颂 28-097
CH2801-029-18 元载孔升天颂 28-097
CH2801-029-19 太安皇崖天颂 28-097
CH2801-029-20 颢定极风天颂 28-097
CH2801-029-21 始皇孝芒天颂 28-097
CH2801-029-22 太黄翁重天颂 28-097
CH2801-029-23 无思江由天颂 28-097
CH2801-029-24 上揲阮乐天颂 28-098
CH2801-029-25 无极昙誓天颂 28-098
CH2801-029-26 皓庭霄度天颂 28-098
CH2801-029-27 渊通元洞天颂 28-098
CH2801-029-28 翰宠妙成天颂 28-098



CH2801-029-29 秀乐禁上天颂 28-098
CH2801-029-30 无上常融天颂 28-098
CH2801-029-31 太极贾奕天颂 28-098
CH2801-030 卷三十 28-100

CH2801-030-1 经文出所品 28-100
CH2801-030-2 经符异名品 28-102
CH2801-031 卷三十一 28-104

CH2801-031-1 经德品 28-104
CH2801-032-2 经文存废品 28-106
CH2801-033-3 遇经宿分品 28-106
CH2801-032 卷三十二 28-109

CH2801-032-1 众圣传经品 28-109
CH2801-032-2 传经年限品 28-113
CH2801-033 卷三十三　轻传受罚品 28-116
CH2801-034 卷三十四 28-118

CH2801-034-1 师资品 28-118
CH2801-034-2 法信品 28-120
CH2801-034-3 授度品 28-123
CH2801-035 卷三十五　授度斋辞宿启仪品 28-124
CH2801-036 卷三十六(缺)
CH2801-037 卷三十七　授道德五千文仪品 28-128
CH2801-038 卷三十八　授洞神三皇仪品 28-131
CH2801-039 卷三十九　授洞玄真文仪品 28-132
CH2801-040 卷四十　授洞真上清仪品(缺后) 28-136
CH2801-041 卷四十一 28-138

CH2801-041-1 策杖品 28-138
CH2801-041-2 策版品 28-140
CH2801-041-3 投简品 28-140
CH2801-041-4 奏简文品 28-141
CH2801-042 卷四十二 28-144

CH2801-042-1 事师品 28-144
CH2801-042-2 修学品 28-145
CH2801-043 卷四十三 28-149

CH2801-043-1 修道冠服品 28-149
CH2801-043-1-1三皇道士法服 28-149
CH2801-043-1-2灵宝道士法服 28-149
CH2801-043-1-3上清道士法服 28-149
CH2801-043-2 说经轨度品 28-150
CH2801-043-3 诵经品 28-151
CH2801-044 卷四十四　洞真三元品诫仪品 28-154

CH2801-044-1 上元品诫 28-154
CH2801-044-2 中元品诫 28-155
CH2801-044-3 下元品诫 28-156
CH2801-045 卷四十五 28-158

CH2801-045-1 玉清下元戒品 28-158
CH2801-045-2 玉清中元戒品 28-161
CH2801-045-3 玉清上元戒品 28-161



CH2801-045-4 洞真智慧观身大戒经品 28-163
CH2801-046 卷四十六 28-166

CH2801-046-1 升玄戒品 28-166
CH2801-046-1-1升玄五戒 28-166
CH2801-046-1-2升玄九戒 28-167
CH2801-046-2 洞玄戒品 28-168
CH2801-046-2-1洞玄十戒 28-168
CH2801-046-2-2洞玄十善戒 28-168
CH2801-046-2-3洞玄智慧十戒 28-168
CH2801-046-2-4洞玄智慧十二可从戒 28-169
CH2801-046-2-5智慧闭塞六情上品戒 28-169
CH2801-046-2-6智慧度生死上品大戒 28-169
CH2801-046-2-7智慧十善劝助上品大戒 28-169
CH2801-046-3 洞神戒品 28-170
CH2801-046-3-1洞神三界戒 28-170
CH2801-046-3-2洞神五戒 28-170
CH2801-046-3-3洞神八戒 28-170
CH2801-046-4 正一五戒品 28-171
CH2801-047 卷四十七 28-172

CH2801-047-1 斋戒品 28-172
CH2801-047-2 受法持斋品 28-173
CH2801-048 卷四十八　灵宝斋宿启仪品 28-175
CH2801-049 卷四十九　三皇斋品 28-179
CH2801-050 卷五十 28-185

CH2801-050-1 涂炭斋品 28-185
CH2801-050-2 次卫灵神咒品 28-187
CH2801-051 卷五十一　盟真斋品 28-192
CH2801-052 卷五十二　三元斋品 28-194
CH2801-053 卷五十三　金箓斋品 28-200
CH2801-054 卷五十四　黄箓斋品 28-202

立坛．题榜．香火．镇龙．命缯．方彩．署职．祝香，请仙官．三上香．谢十方．谢日月星．谢五岳．谢水官．谢三宝
CH2801-055 卷五十五　太真下元斋品 28-209
CH2801-056 卷五十六　太真中元斋品 28-214
CH2801-057 卷五十七　太真上元斋品 28-217
CH2801-058 卷五十八(缺)
CH2801-059 卷五十九(缺)
CH2801-060 卷六十(缺)
CH2801-061 卷六十一(缺)
CH2801-062 卷六十二(缺)
CH2801-063 卷六十三(缺)
CH2801-064 卷六十四(缺)
CH2801-065 卷六十五 28-221

CH2801-065-1 专诫品 28-221
CH2801-065-2 柔弱品 28-222
CH2801-065-3 虚靖品 28-222
CH2801-065-4 山居品 28-223
CH2801-065-5 违俗品 28-224



CH2801-066 卷六十六 28-225
CH2801-066-1 沐浴品 28-225
CH2801-066-2 入室品 28-226
CH2801-066-3 明灯品 28-226
CH2801-066-4 烧香品 28-228
CH2801-066-5 叩齿品 28-228
CH2801-066-6 咒请品 28-228
CH2801-067 卷六十七(缺)
CH2801-068 卷六十八(缺)
CH2801-069 卷六十九(缺)
CH2801-070 卷七十(缺)
CH2801-071 卷七十一(缺)
CH2801-072 卷七十二(缺)
CH2801-073 卷七十三(缺)
CH2801-074 卷七十四　启志愿品 28-230
CH2801-075 卷七十五(缺)
CH2801-076 卷七十六 28-235

CH2801-076-1 服五气品 28-235
CH2801-076-1-1服五气品 28-235
CH2801-076-1-2修养青牙导引东方九气青天之法 28-235
CH2801-076-1-3修养丹牙导引南方七气丹天之法 28-236
CH2801-076-1-4修养黄牙导引戊己十二气黄天之法 28-236
CH2801-076-1-5修养素牙导引西方七气素天之法 28-237
CH2801-076-1-6修养玄牙导引北方五气玄天之法 28-237
CH2801-076-2 咽云牙品 28-238
CH2801-076-3 饵玄根品 28-239
CH2801-077 卷七十七(缺)
CH2801-078 卷七十八 28-239

CH2801-078-1 地仙药品 28-239
CH2801-078-2 天仙药品 28-240
CH2801-078-3 太清药品 28-240
CH2801-078-4 太极药品 28-240
CH2801-078-5 上清药品 28-240
CH2801-078-6 玉清药品 28-241
CH2801-079 卷七十九(缺)
CH2801-080 卷八十(缺)
CH2801-081 卷八十一(缺)
CH2801-082 卷八十二(缺)
CH2801-083 卷八十三 28-241

CH2801-083-1 得鬼官道人名品 28-241
CH2801-083-2 得地仙道人名品 28-243
CH2801-083-3 得地真道人名品 28-246
CH2801-083-4 得九宫道人名品 28-246
CH2801-084 卷八十四 28-248

CH2801-084-1 得太清道人名品 28-248
CH2801-084-2 得太极道人名品 28-251
CH2801-085 卷八十五(缺)



CH2801-086 卷八十六(缺)
CH2801-087 卷八十七　尸解品 28-254
CH2801-088 卷八十八 28-258

CH2801-088-1 易形品 28-258
CH2801-088-2 长生品 28-259
CH2801-088-3 天仙品 28-261
CH2801-088-4 升月庭品 28-262
CH2801-088-5 升日门品 28-263
CH2801-089 卷八十九(缺)
CH2801-090 卷九十(缺)
CH2801-091 卷九十一 28-264

CH2801-091-1 升太极宫品 28-264
CH2801-091-2 升太微宫品 28-265
CH2801-091-3 通灵决精八史图 28-267
CH2801-092 卷九十二　升上清品上 28-267
CH2801-093 卷九十三　升上清品下 28-274
CH2801-094 卷九十四 28-278

CH2801-094-1 升太空品 28-278
CH2801-094-2 升紫微宫品 28-280
CH2801-094-3 升紫庭品 28-280
CH2801-094-4 升紫虚品 28-281
CH2801-095 卷九十五 28-281

CH2801-095-1 升紫晨品 28-281
CH2801-095-2 升玉宫品 28-283
CH2801-096 卷九十六 28-285

CH2801-096-1 玉清品上 28-285
CH2801-096-2 阳台灵生玉符 28-286
CH2801-096-3 洞真九赤斑符 28-286
CH2801-096-4 金书秘字三元九真阳符 28-288
CH2801-097 卷九十七　玉清品下 28-288

CH2801-097-1 回神飞霄登空招五星上法 28-288
CH2801-097-2 五铃登空步虚保仙上符 28-290
CH2801-097-3 流金火铃内视振威大咒神慧 28-291
CH2801-097-4 上皇先生紫晨君上经 28-293
CH2801-097-5 太上大道君道章第五 28-294
CH2801-098 卷九十八 28-296

CH2801-098-1 升九天品 28-296
CH2801-098-2 洞渊九地三十六音 28-297
CH2801-099 卷九十九 28-301

CH2801-099-1 升太清品 28-301
CH2801-099-2 洞真招灵致真摄魔符 28-303
CH2801-099-3 太白六度厄宝命长存符 28-303
CH2801-099-4 小白六度厄宝命长存符 28-303
CH2801-099-5 阴阳度厄宝命长存符 28-303
CH2801-100 卷一百 28-305

CH2801-100-1 升无形品 28-305
CH2801-100-2 应变化品 28-305



CH2801-100-3 会兼忘品 28-306
CH2801-100-4 入自然品 28-306
CH2801-100-5 洞冥寂品 28-307
CH2801-x1 附一　敦煌写本〔无上秘要目录〕 28-308
CH2801-x2 附二　敦煌写本〔无上秘要〕残缺 28-315
CH2802 大道通玄要(敦煌本) 28-318

CH2802-01 大道通玄要卷第一 28-318
CH2802-01-0 大道通玄要卷叙 28-318

道品
CH2802-01-01 升玄内教经卷第八 28-318
CH2802-01-02 老子道经上 28-318
CH2802-01-03 文子道元第一 28-319
CH2802-01-04 妙真经卷上 28-319
CH2802-01-05 灵宝自然经诀 28-319
CH2802-01-06 上清太极宝签上说卷 28-319
CH2802-01-07 庄子外篇知北游第廿二 28-319
CH2802-01-08 道生一品老子德经卷下 28-319
CH2802-01-09 上清经三天正法卷 28-319
CH2802-01-10 灵宝洞玄法轮经卷 28-319
CH2802-01-11 神仙钩注经 28-319
CH2802-01-12 妙真经卷上 28-320
CH2802-01-13 文子九守第三 28-320
CH2802-01-14 升玄内教经第三卷 28-320

人品
CH2802-01-15 妙真经卷上 28-320
CH2802-01-16 上精化胎精中经卷 28-320
CH2802-01-17 上清太上帝君九真中经卷 28-320
CH2802-01-18 文子微明第七 28-321
CH2802-01-19 列子天瑞第一 28-321
CH2802-02 卷第二(缺)
CH2802-03 卷第三(缺)
CH2802-04 卷第四(缺)
CH2802-05 大道通玄要卷第五 28-321

反俗品
CH2802-05-01 升玄经卷第三 28-321
CH2802-05-02 升玄经卷第八 28-322
CH2802-05-03 老子道经卷上 28-322
CH2802-05-04 灵宝自然经诀卷 28-322

入道初门品
CH2802-05-05 升玄内教卷第一 28-322
CH2802-05-06 灵宝经消魔卷 28-322
CH2802-05-07 灵宝经三元品戒卷 28-323

三世行品
CH2802-05-08 老子德经下 28-323
CH2802-05-09 灵宝经欢诫法轮卷 28-323
CH2802-06 大道通玄要卷第六 28-324

CH2802-06-01 前言(无题) 28-324



智慧戒品
CH2802-06-02 宝经智慧大戒卷 28-324
CH2802-06-03 可从戒品 28-324
CH2802-06-04 度生戒品 28-325
CH2802-06-05 闭塞六情戒品 28-325
CH2802-06-06 劝助戒品 28-326

本行戒品
CH2802-06-07 灵宝经智慧罪根卷 28-326
CH2802-06-08 持身戒品 28-327
CH2802-06-09 十善戒品 28-327
CH2802-06-10 十恶戒品 28-327

要决十戒品
CH2802-06-11 灵宝经思微定志卷 28-328
CH2802-07 大道通玄要卷第七 28-328

CH2802-07-1 上元戒品 28-328
CH2802-07-2 中元戒品 28-329
CH2802-07-3 下元戒品 28-330
CH2802-08 卷第八(缺)
CH2802-09 卷第九(缺)
CH2802-10 卷第十(缺)
CH2802-11 卷第十一(缺)
CH2802-12 大道通玄要卷第十二 28-331

CH2802-12-1 (无题) 28-331
CH2802-12-2 皇人经卷 28-331
CH2802-12-3 灵宝五符经卷 28-331
CH2802-13 卷第十三(缺)
CH2802-14 大道通玄要卷第十四 28-332

CH2802-14-1 (无题) 28-332
仙品

CH2802-14-2 灵宝经自然经诀卷 28-333
CH2802-14-3 升玄经第七卷 28-333

兼忘品
CH2802-14-4 灵宝敷斋卷 28-323
CH2802-14-5 列子力命第六 28-324
CH2802-14-6 庄子外篇天运第十四 28-324

真一品
CH2802-14-7 妙真经上 28-324
CH2802-14-8 升玄经第四卷 28-324
CH2802-15 大道通玄要 28-335

CH2802-15-1 大道通玄要 28-335
CH2802-15-2 念品-升玄经卷第五 28-335
CH2802-15-3 念品-灵宝经劝戒法轮卷 28-335

CH2803 敦煌失题道教类书七种(敦煌本) 28-337
CH2803-1 一 28-337
CH2803-1-1 前题 28-337
CH2803-1-2 功德 28-337
CH2803-2 二 28-338



CH2803-2-1 前题 28-338
CH2803-2-2 寂静 28-338
CH2803-3 三 28-339
CH2803-3-1 前题 28-339
CH2803-3-2 玉质 28-339
CH2803-3-3 相好 28-339
CH2803-4 四 28-339
CH2803-4-1 前题 28-339
CH2803-4-2 覆护 28-340
CH2803-4-3 现形 28-340
CH2803-4-4 说法 28-340
CH2803-5 五
CH2803-5-1 前题 28-341
CH2803-5-2 安乐 28-341
CH2803-5-3 清净 28-341
CH2803-5-4 智慧 28-341
CH2803-6 六
CH2803-6-1 前题 28-342
CH2803-6-2 随喜 28-342
CH2803-6-3 净意 28-342
CH2803-6-4 调心 28-342
CH2803-6-5 时食 28-343
CH2803-6-6 菜食 28-343
CH2803-6-7 粗食 28-343
CH2803-6-8 胎食 28-343
CH2803-6-9 去秽 28-344
CH2803-7 七
CH2803-7-1 前题 28-344

畜生水族品
CH2803-7-3 序水族 28-345
CH2804 道典论 -正统道藏太平部 28-346
CH2804-0 目录 28-346
CH2804-1 卷一
CH2804-1-1 太君 28-347
CH2804-1-2 大神 28-350
CH2804-1-3 飞天 28-350
CH2804-1-4 童子 28-351
CH2804-1-5 大士 28-351
CH2804-2 卷二
CH2804-2-1 道士 28-352
CH2804-2-2 先生 28-353
CH2804-2-3 上人 28-354
CH2804-2-4 至学 28-354
CH2804-2-5 贫道 28-354
CH2804-2-6 宗匠 28-354
CH2804-2-7 弟子 28-355
CH2804-2-8 尸解 28-355



CH2804-2-9 主者 28-356
CH2804-3 卷三

CH2804-3-01 诽谤 28-357
CH2804-3-02 毁辱 28-357
CH2804-3-03 攻击 28-357
CH2804-3-04 耽酒 28-358
CH2804-3-05 放荡 28-358
CH2804-3-06 不慈 28-359
CH2804-3-07 不孝 28-359
CH2804-3-08 三障 28-359
CH2804-3-09 三畏 28-359
CH2804-3-10 三毒 28-359
CH2804-3-11 四病 28-360
CH2804-3-12 五欲 28-360
CH2804-3-13 五浊 28-360
CH2804-3-14 七伤 28-361
CH2804-3-15 八难 28-362
CH2804-3-16 七患 28-362
CH2804-3-17 五败 28-362
CH2804-3-18 田猎 28-362
CH2804-3-19 渔捕 28-362
CH2804-3-20 苦酷 28-363
CH2804-3-21 淫祀 28-363
CH2804-3-22 谋逆 28-363
CH2804-3-23 承负 28-363
CH2804-4 卷四

CH2804-4-01 妙瑞 28-364
CH2804-4-02 灾异 28-364
CH2804-4-03 怪妖 28-365
CH2804-4-04 梦相 28-365
CH2804-4-05 真人 28-365
CH2804-4-06 吉兆 28-366
CH2804-4-07 凶征 28-366
CH2804-4-08 服饵 28-366
CH2804-4-09 导引 28-366
CH2804-4-10 胎息 28-367
CH2804-4-11 云牙 28-367
CH2804-4-12 服黄气 28-368
CH2804-4-13 服王气 28-368
CH2804-4-14 服六戊 28-369
CH2804-4-15 服三光 28-369
CH2804-4-16 丹品 28-369
CH2804-4-17 丹名 28-370

CH2805 道要灵祇神鬼品经-正统道藏正一部 28-371
CH2805-01 总序灵只 28-371
CH2805-02 灵只神品 28-371
CH2805-03 庵正品 28-372



CH2805-04 力士品 28-372
CH2805-05 空神品 28-372
CH2805-06 社神品 28-372
CH2805-07 山神品 28-372
CH2805-08 水神品 28-373
CH2805-09 灵只鬼品 28-373
CH2805-10 善爽鬼品 28-378
CH2805-11 苦魂鬼品 28-378
CH2805-12 精魅鬼品 28-378
CH2805-13 树木鬼品 28-379
CH2805-14 山鬼品 28-379
CH2805-15 水鬼品 28-379
CH2805-16 土鬼品 28-379
CH2805-17 饿鬼品 28-379
CH2805-18 瘟鬼品 28-379
CH2805-19 蛊鬼品 28-380
CH2806 上清道类事相-正统道藏太平部 28-381
CH2806-1 卷一
CH2806-1 仙观品 28-381
CH2806-2 卷二
CH2806-2-1 楼阁品 28-387
CH2806-2-2 仙房品 28-388
CH2806-3 卷三
CH2806-3 宝台品 28-392
CH2806-4 卷四
CH2806-4-1 琼室品 28-398
CH2806-4-2 宅宇灵庙品 28-401
CH2807 三洞珠囊-正统道藏太平部 28-405

CH2807-01 卷一 28-405
CH2807-01 教导品 28-405
CH2807-02 卷二 28-413

CH2807-02-1 贫俭品 28-413
CH2807-02-2 韬光品 28-414
CH2807-02-3 勑追召道士品 28-415
CH2807-02-4 投水水龙简品 28-416
CH2807-03 卷三
CH2807-03 服食品 28-418
CH2807-04 卷四

CH2807-04-1 绝粒品 28-429
CH2807-04-2 神丹仙药名品 28-430
CH2807-04-3 丹灶香炉品 28-432
CH2807-05 卷五

CH2807-05-1 坐忘精思品 28-433
CH2807-05-2 长斋品 28-434
CH2807-06 卷六

CH2807-06-1 斋会品 28-437
CH2807-06-2 舍失戒品 28-437



CH2807-06-3 清戒品 28-437
CH2807-06-4 立功禁忌品 28-438
CH2807-06-5 受持八戒斋品 28-441
CH2807-07 卷七

CH2807-07-01 二十四治品 28-442
CH2807-07-02 二十四气品 28-447
CH2807-07-03 三部八景二十四神品 28-447
CH2807-07-04 二十四地岳品 28-447
CH2807-07-05 二十四职品 28-448
CH2807-07-06 地发二十四应品 28-448
CH2807-07-07 二十四真图品 28-449
CH2807-07-08 二十五性色者 28-449
CH2807-07-09 二十七中法门名数品 28-449
CH2807-07-10 二十七大夫者 28-450
CH2807-07-11 二十七天者 28-450
CH2807-07-12 人身中二十七生气君者 28-450
CH2807-07-13 二十八中法门各数品 28-450
CH2807-07-14 三十二中法门各数品 28-451
CH2807-07-15 三十二帝者 28-453
CH2807-07-16 三十二牢狱者 28-454
CH2807-08 卷八

CH2807-08-1 相好品 28-455
CH2807-08-2 诸天年号日月品 28-463
CH2807-08-3 分化国土品 28-466
CH2807-09 卷九

CH2807-09-1 劫数品 28-467
CH2807-09-2 老子为帝师品 28-469
CH2807-09-3 老子化西胡品 28-470
CH2807-09-4 时节品 28-474
CH2807-10 卷十 28-475
CH2807-10 叩齿咽液品 28-475
CH2808 上清道宝经-正统道藏正一部 28-480
CH2808-1 卷一 28-480
CH2808-1-1 经品第一 28-480
CH2808-1-2 师资品第二 28-483
CH2808-1-3 墨录中篇 28-491
CH2808-1-4 恭事图文朝礼威仪 28-499
CH2808-2 卷二 28-506
CH2808-2-1 天品第三 28-506
CH2808-2-2 地品第四 28-515
CH2808-3 卷三 28-523
CH2808-3-1 死生品第五 28-523
CH2808-3-2 妓乐品第六 28-541
CH2808-4 卷四 28-544
CH2808-4-1 驾乘品第七 28-544
CH2808-4-2 服饵品第八 28-546
CH2808-4-3 食货品第九 28-553



CH2808-5 卷五 28-556
CH2808-5-1 时运品第十 28-556
CH2808-5-2 资用品第十一 28-556
CH2808-5-3 居处品第十二 28-559
CH2809 太平御览-正统道藏正一部 28-564
CH2809-0 目录 28-564
CH2809-01 道部一　道 28-565
CH2809-02 道部二　真人上 28-571
CH2809-03 道部三　真人下 28-575
CH2809-04 道部四　天仙 28-579
CH2809-05 道部五　地仙 28-583
CH2809-06 道部六　尸解 28-588
CH2809-07 道部七　剑解 28-593
CH2809-08 道部八　道士 28-596
CH2809-09 道部九　斋戒 28-601
CH2809-10 道部十　养生 28-605
CH2809-11 道部十一　服饵上 28-610
CH2809-12 道部十二　服饵中 28-614
CH2809-13 道部十三　服饵下 28-617
CH2809-14 道部十四　仙经上 28-621
CH2809-15 道部十五　仙经下 28-625
CH2809-16 道部十六　理所 28-630
CH2809-17 道部十七 28-635

CH2809-17-01 冠 28-635
CH2809-17-02 帻 28-638
CH2809-17-03 帔 28-638
CH2809-17-04 褐 28-638
CH2809-17-05 褵 28-639
CH2809-17-06 袍 28-639
CH2809-17-07 裘 28-639
CH2809-17-08 衣 28-639
CH2809-17-09 佩 28-639
CH2809-17-10 绶 28-639
CH2809-17-11 板 28-640
CH2809-17-12 笏 28-640
CH2809-17-13 帬 28-640
CH2809-17-14 铃 28-640
CH2809-17-15 杖 28-641
CH2809-17-16 节 28-641
CH2809-17-17 履 28-641
CH2809-17-18 舄 28-641
CH2809-17-19 帷帐 28-642
CH2809-17-20 席 28-642
CH2809-18 道部十八　简章 28-642
CH2809-19 道部十九 28-647

CH2809-17-01 几案 28-647
CH2809-17-02 舆辇 28-648



CH2809-17-03 阙 28-651
CH2809-17-04 殿 28-651
CH2809-17-05 堂 28-651
CH2809-17-06 台 28-652
CH2809-17-07 阁 28-652
CH2809-17-08 楼 28-652
CH2809-17-09 观 28-653
CH2809-17-10 宫 28-653
CH2809-17-11 室 28-653
CH2809-17-12 房 28-653
CH2809-17-13 舍 28-653
CH2809-17-14 窗 28-653
CH2809-17-15 户 28-653
CH2809-17-16 门 28-654
CH2809-17-17 庭 28-654
CH2809-17-18 坛 28-654
CH2809-17-19 府 28-654
CH2809-20 道部二十　传授上 28-654
CH2809-21 道部二十一　传授下 28-659
CH2810 道书授神契-正统道藏正一部 28-664

CH2810-00 道书授神契序 28-664
CH2810-01 宫观 28-664
CH2810-02 醮坛 28-664
CH2810-03 钟磬 28-664
CH2810-04 香灯 28-665
CH2810-05 神只 28-665
CH2810-06 饼果 28-665
CH2810-07 帐幕 28-665
CH2810-08 法服 28-665
CH2810-09 冠裳 28-665
CH2810-10 圭简 28-665
CH2810-11 位牌 28-665
CH2810-12 符简 28-665
CH2810-13 步虚 28-666
CH2810-14 章表 28-666
CH2810-15 跪拜 28-666
CH2810-16 法尺 28-666
CH2810-17 法制 28-666
CH2810-18 方彩 28-666
CH2810-19 禁祝 28-666
CH2810-20 符文 28-666
CH2810-21 铺灯 28-666
CH2810-22 附体 28-666
CH2810-23 手垆 28-666
CH2810-24 帝钟 28-667
CH2810-25 气诀 28-667
CH2810-26 令牌 28-667



CH2810-27 旛幢 28-667
CH2810-28 云璈 28-667
CH2810-29 祷疾 28-667
CH2810-30 晴雨 28-667
CH2810-31 休粮 28-667
CH2810-32 道士 28-667
CH2811 天皇至道太清玉册-万历续道藏 28-668

CH2811-0-0 天皇至道太清玉册序 28-668
CH2811-0-1 原道 28-669
CH2811-0-2 目录 28-669
CH2811-1 上卷 28-671
CH2811-1-1 开天辟地章 28-671

CH2811-1-1-01 天道 28-671
CH2811-1-1-02 元气 28-672
